0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
295	ansigt	1.b	3	0.37582820653915405	1	0	3	0	1	1
296	ansigt	1.b	3.a	0.4328535199165344	0	0	3	0	1	1
297	ansigt	2	2.a	0.3856201767921448	0	0	1	1	0	0
298	ansigt	2	3	0.41875559091567993	0	0	1	0	0	1
299	ansigt	2	3.a	0.43599826097488403	0	0	1	0	0	1
300	ansigt	2.a	3	0.32308632135391235	0	0	2	0	0	1
301	ansigt	2.a	3.a	0.2961984872817993	0	0	2	0	0	1
302	ansigt	3	3.a	0.30121535062789917	0	0	0	1	0	0
303	anspændt	1	1.a	0.4177899956703186	1	0	1	1	0	0
304	anstrengelse	1	1.a	0.41277915239334106	3	0	2	1	0	0
305	ansvarlig	1	2	0.2273126244544983	0	0	12	0	0	1
306	ansvarlig	1	2.a	0.3570316433906555	0	0	13	0	0	1
307	ansvarlig	2	2.a	0.38182395696640015	0	0	1	1	0	0
308	ansætte	1	2	0.42520833015441895	0	0	6	0	0	1
309	ansættelse	1	2	0.5044155418872833	0	0	7	0	0	1
310	ansøgning	1	1.a	0.39794373512268066	0	0	10	1	0	1
311	antage	1	1.a	0.3601025938987732	2	1	8	1	0	0
312	antage	1	1.b	0.11891800165176392	5	0	10	1	0	0
313	antage	1	2	0.40931612253189087	0	0	7	0	0	1
314	antage	1	2.a	0.33821314573287964	0	0	10	0	0	1
315	antage	1	2.b	0.4225471019744873	0	0	11	0	0	1
316	antage	1	3	0.4634265899658203	0	0	10	0	0	1
317	antage	1	3.a	0.5524267554283142	0	0	10	0	0	1
318	antage	1.a	1.b	0.38302040100097656	2	1	2	1	0	0
319	antage	1.a	2	0.4333116412162781	0	0	1	0	0	1
320	antage	1.a	2.a	0.33886611461639404	0	0	2	0	0	1
321	antage	1.a	2.b	0.3422321081161499	0	0	3	0	0	1
322	antage	1.a	3	0.39689135551452637	0	0	2	0	0	1
323	antage	1.a	3.a	0.47867774963378906	0	0	2	0	0	1
324	antage	1.b	2	0.46849584579467773	0	0	3	0	0	1
325	antage	1.b	2.a	0.33904212713241577	0	0	0	0	0	1
326	antage	1.b	2.b	0.4448024034500122	0	0	1	0	0	1
327	antage	1.b	3	0.4768790006637573	0	0	0	0	0	1
328	antage	1.b	3.a	0.538995236158371	0	0	0	0	0	1
329	antage	2	2.a	0.3787691593170166	0	0	3	1	0	0
330	antage	2	2.b	0.45895683765411377	0	0	4	1	0	0
331	antage	2	3	0.361758828163147	0	0	3	0	0	1
332	antage	2	3.a	0.5813045799732208	0	0	3	0	0	1
333	antage	2.a	2.b	0.373093843460083	0	0	1	1	0	0
334	antage	2.a	3	0.34940892457962036	0	0	0	0	0	1
335	antage	2.a	3.a	0.443320631980896	0	0	0	0	0	1
336	antage	2.b	3	0.3816583752632141	0	0	1	0	0	1
337	antage	2.b	3.a	0.4944543242454529	0	0	1	0	0	1
338	antage	3	3.a	0.45060795545578003	0	0	0	1	0	0
339	antagelse	1	2	0.45123207569122314	0	0	1	0	0	1
340	antagelse	1	2.a	0.49447154998779297	0	0	2	0	0	1
341	antagelse	1	3	0.31704509258270264	0	0	2	0	0	1
