idx	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
2346	hoppe	1	2	0.3812086582183838	2	0	4	0	0	1
2347	hoppe	1	2.a	0.5206102132797241	0	0	2	0	0	1
2348	hoppe	1.a	1.b	0.17650383710861206	4	0	2	1	0	0
2349	hoppe	1.a	2	0.3660731911659241	1	1	7	0	0	1
2350	hoppe	1.a	2.a	0.48145270347595215	0	1	1	0	0	1
2351	hoppe	1.b	2	0.4032294750213623	0	0	5	0	0	1
2352	hoppe	1.b	2.a	0.3586317300796509	0	0	1	0	0	1
2353	hoppe	2	2.a	0.5217660665512085	0	1	6	1	0	0
2354	horisont	1	1.a	0.5106707215309143	2	0	4	1	0	0
2355	horisont	1	2	0.6451784372329712	0	0	0	0	0	1
