0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
1290	endda	1	2.a	0.2954803705215454	0	0	3	0	0	1
1291	endda	1	2.b	0.3592621684074402	0	0	2	0	0	1
1292	endda	1	2.c	0.5369556546211243	0	0	3	0	0	1
1293	endda	2	2.a	0.4235987663269043	0	0	1	1	0	0
1294	endda	2	2.b	0.5148905217647552	0	0	0	1	0	0
1295	endda	2	2.c	0.516947329044342	0	0	1	1	0	0
1296	endda	2.a	2.b	0.1808958649635315	0	0	1	1	0	0
1297	endda	2.a	2.c	0.3974928855895996	0	0	0	1	0	0
1298	endda	2.b	2.c	0.4240570068359375	0	0	1	1	0	0
1299	endelig	1	2	0.46522730588912964	1	0	14	0	0	1
1300	endelig	1	2	0.23565971851348877	0	0	1	0	0	1
1301	endelig	1	3	0.4193125367164612	0	0	2	0	0	1
1302	endelig	2	3	0.22902506589889526	0	0	1	0	0	1
1303	endnu	1	1.a	0	0	0	2	1	0	0
1304	endnu	1	2	0.2689187526702881	0	0	14	0	0	1
1305	endnu	1	2.a	0.2828238606452942	0	0	14	0	0	1
1306	endnu	1.a	2	0.2689187526702881	0	0	16	0	0	1
1307	endnu	1.a	2.a	0.2828238606452942	0	0	16	0	0	1
1308	endnu	2	2.a	0.02171403169631958	0	0	0	1	0	0
1309	ene	1	1.a	0.23681187629699707	0	0	1	1	0	0
1310	energi	1.a	2	0.22658634185791016	1	0	0	0	0	1
1311	eneste	1	1.b	0.3635505437850952	0	0	11	1	0	1
1312	engang	1	2	0	0	0	4	0	0	1
1313	engang	1	3	0.47515779733657837	0	0	6	0	0	1
1314	engang	2	3	0.47515779733657837	0	0	2	0	0	1
1315	engel	1	1.a	0.3410651683807373	0	0	6	1	0	0
1316	engel	1	1.b	0.4242345094680786	0	0	4	1	1	1
1317	engel	1.a	1.b	0.3429284691810608	0	0	2	1	1	1
1318	engelsk	1	2	0.18836385011672974	0	0	3	0	0	1
1319	engelsk	1	2	0.18836385011672974	0	0	7	0	0	1
1320	enig	1	1.a	0.3460512161254883	0	0	10	1	0	0
1321	enig	1	2	0.21530866622924805	0	0	5	0	0	0
1322	enig	1.a	2	0.2660447359085083	0	0	5	0	0	0
1323	enkelt	1	1.a	0.27577149868011475	0	0	13	1	0	0
1324	enkelt	1	2	0.22839045524597168	0	0	3	0	0	1
1325	enkelt	1.a	2	0.28123605251312256	0	0	10	0	0	1
1326	epistel	2	2.a	0.45365768671035767	0	0	2	1	0	0
1327	erfaren	1	1.a	0.8005131632089615	0	0	7	1	0	0
1328	erfaring	1	1.a	0.2722172737121582	1	0	6	1	0	0
1329	erfaring	1	2	0.2928817868232727	0	0	2	0	0	0
1330	erfaring	1.a	2	0.3424457907676697	0	0	4	0	0	0
1331	erhverv	1	2	0.3760850429534912	5	0	1	0	0	1
1332	erhverv	1	3	0.21818244457244873	1	0	7	0	0	0
1333	erhverv	2	3	0.24807286262512207	1	0	6	0	0	1
1334	erindring	1	2	0.4977830648422241	0	0	6	0	0	0
1335	erindring	1	2.a	0.4487850069999695	1	0	1	0	0	0
1336	erindring	1	3	0.30678439140319824	0	0	3	0	0	1
1337	erindring	2	2.a	0.7007337510585785	0	0	5	1	0	0
1338	erindring	2	3	0.4752655625343323	0	0	3	0	0	1
1339	erindring	2.a	3	0.5210257470607758	0	0	2	0	0	1
1340	erklære	1	1.a	0.15303534269332886	0	0	19	1	0	0
1341	erklære	1	1.b	0	4	1	1	1	0	0
1342	erklære	1.a	1.b	0.15303534269332886	0	0	18	1	0	0
1343	erklæring	1	2	0.04447591304779053	3	0	0	0	0	0
1344	erstatte	1	1.a	0	0	1	1	1	0	0
1345	erstatte	1	1.b	0.26754385232925415	0	0	0	1	0	0
1346	erstatte	1	2	0.31662631034851074	1	0	0	0	0	1
1347	erstatte	1.a	1.b	0.26754385232925415	0	0	1	1	0	0
1348	erstatte	1.a	2	0.31662631034851074	0	0	1	0	0	1
1349	erstatte	1.b	2	0.31971168518066406	0	0	0	0	0	1
1350	eskalere	1	1.a	0.678619384765625	0	0	0	1	0	0
1351	etablere	1	1.a	0.2126610279083252	0	0	5	1	0	0
1352	etablere	1	2	0.08857250213623047	0	1	7	0	0	1
1353	etablere	1.a	2	0.20506280660629272	0	0	2	0	0	1
1354	etage	1	1.a	0.49991077184677124	3	0	1	1	0	0
1355	etage	1	1.b	0.2780972123146057	3	0	0	1	0	0
1356	etage	1	2	0	2	0	1	0	0	1
1357	etage	1.a	1.b	0.3291621804237366	3	0	1	1	0	0
1358	etage	1.a	2	0.49991077184677124	2	0	2	0	0	1
1359	etage	1.b	2	0.2780972123146057	2	0	1	0	0	1
1360	etnisk	1	1.a	0.274097204208374	0	0	5	1	0	0
1361	etnisk	1	2	0.1665748953819275	0	0	7	0	0	1
1362	etnisk	1.a	2	0.33501577377319336	0	0	2	0	0	1
1363	eventyr	1	1.a	0.23099827766418457	0	0	3	1	1	1
1364	eventyr	1	2	0.4187391996383667	0	0	0	0	0	1
1365	eventyr	1	2.b	0.14970070123672485	0	0	2	0	1	1
1366	eventyr	1.a	2	0.45073533058166504	1	0	3	0	1	1
1367	eventyr	1.a	2.b	0.28791695833206177	0	0	1	0	2	0
1368	eventyr	2	2.b	0.3311827778816223	0	0	2	1	1	1
1369	evig	1	1.a	0.5115030109882355	0	0	11	1	0	1
1370	evig	1	1.b	0.5115030109882355	0	0	3	1	0	1
1371	evig	1	1.c	0.5314933955669403	0	0	8	1	0	0
1372	evig	1.a	1.b	0	0	0	8	1	0	0
1373	evig	1.a	1.c	0.09927517175674438	0	0	3	1	0	1
1374	evig	1.b	1.c	0.09927517175674438	0	0	5	1	0	1
1375	evne	1	1.a	0.2720654010772705	1	0	11	1	0	0
1376	fabrik	1	1.a	0.3111724257469177	1	0	5	1	0	1
1377	fabrikere	1	1.a	0.4648337960243225	2	0	2	1	1	1
1378	facade	1	1.a	0.16717833280563354	0	0	14	1	1	1
1379	fad	1	2	0.5860027372837067	3	0	1	0	0	1
